User Name;Rating;Review;Waktu Upload
yougo effendi;1;IT nya lulusan kampus mana sih njir  bikin aplikasi tapi gak bisa di buka;02/12/2024 02.01
Suyanto 1235;5;Lebih mudah;02/12/2024 01.54
Nandar polim;5;Baik;02/12/2024 01.51
Nurohim Nurohim;5;Lebih simpel dan mudah;02/12/2024 01.49
Mutoharul Janan;5;aplikasi ini mantaaap;02/12/2024 01.11
Sunoto Wungu;5;Melihat lkd;01/12/2024 23.33
doni Pangeran 212;5;Okay;01/12/2024 23.32
Ari Saepul;1;Sudah di download tapi Aplikasi tidak bisa di buka;01/12/2024 23.27
Sur Yadi;1;Tidak bisa masuk ke menu nya, tolong di perbaiki;01/12/2024 17.24
Eriberto obot Montefalcon;5;Baru mencoba;01/12/2024 15.19
Chiko Jeriko;5;aplikasi mantapp;01/12/2024 13.17
ABU BAKAR. HS;5;Terima kasih saya sampaikan dengan adanya Aplikasi IKK, ternyata saya tidak bisa daftar.... semoga dengan adanya Pengadaan KTP Digital prosesnya tidak sulit pada rakyat / masyarakat awam.....;01/12/2024 11.38
jemmy kotambunan;3;Kartu keluarga tidak bisa dibuka.;01/12/2024 11.18
Watdepak Men;1;Online tetapi scan qr harus ke capil, kocak2 wkwk;01/12/2024 09.58
Endang MulyanA;1;Kocak buat android versi 14 tidak bisa;01/12/2024 09.36
Nasrun Nasrun;2;online tetapi masih harus ke dukcapil.. sementara di perantauan KTP KK hilang..mau buat via online tidak bisa katanya jaman udah canggih;01/12/2024 06.23
Oppo A12;1;Gak usah buat aplikasi kalau ujung-ujungnya ke dukcapil, pembodohan;01/12/2024 06.23
Rusdi Yanto;1;Aplikasi buruk, tidak bisa dibuka;01/12/2024 04.35
IRWAN SYAH;1;Apk Tidak bisa dibuka lagi;01/12/2024 00.40
Ugih sugiono;5;Sangat membantu,lebih dikembangkan lagi..;30/11/2024 22.55
Yuli Anggi;5;Suka aplikasinya;30/11/2024 15.38
Awan Tanu;1;Masih harus dateng ke dukcapil ?? Heelleehhh ...;30/11/2024 14.49
