User Name;Rating;Review;Waktu Upload
Percuma bayar pajak;1;Yang buat sudah pernah nyoba?;29/10/2024 06.18
Dizaqqqq;1;Bikin rugi apbn aplikasi tidak jelas aneh;27/10/2024 16.34
Eka..1;1;Udah dari 2 bulan yang lalu minta suart pindak kk / pindah individu. Gk ada progresnya, serius gk sih buat aplikasi ini ?;27/10/2024 15.01
Rahmad fahrurrozy;3;Dokumen tidak bisa di buka;10/10/2024 16.40
tamsudi;1;Lucu bgt dh ini ma online tpi suruh dateng ke dukcapil ke banyakan korupsi jadi nya gini bikin system setengah-setengah;26/10/2024 10.26
Adam.1723;1;Bayar pajak cuma buat orang orang tolol yg kerjanya gajelas, buat apa onlen kalo tetep harus ke kantor dukcapil.. padahal kan bisa tinggal vc sama cs/admin disana, Bank bca aja bisa. Ini instansi pemerintahan gabisa. Lucu banget;26/10/2024 09.51
adamsurd;1;Minimal kalo mengundang buat aktivasi Identitas Kependudukan Digital itu dijelaskan dulu tujuan dan maksudnya apa. Udah diluangin waktu untuk datang malah dapet muka tidak peduli.;25/10/2024 05.32
MulyonoFufufafa;1;GOBLOK APA GMN DAH, APLIKASI ONLINE TAPI HARUS JUGA DTG KE KANTOR. Blok;18/10/2024 22.10
tenri nurul;2;Masalah verifikasi barcode Maaf semoga kedepannya lebih efisien lagi soalnya verivikasi barcodenya harus ke kantor dukcapil lagi, lebih baik barcodenya via email / whatsApp saja ;16/10/2024 03.41
abccjdkemsos;1;apa si mau pengajuan online tapi ttp aja harus minta kode qr ke disduk juga percuma dong ada aplikasi buat mempermudah malah tambah mempersulit , gak guna lu aplikasi nga;14/10/2024 05.42
Saneferry;1;Selalu dan selalu aplikasi pemerintah birokrasi menyusahkan, tujuan online agar orang gak perlu ke kantor lagi, mau daftar malah ada tahapan scan barcode ke petugas, kenapa barcode gak dikirim ke email pemohon,  tujuan ada aplikasi ya online gak perlu ke kantor,   Kalau gni gak perlu aplikasi  aplikasi pemerintah selalu menyusahkan.;13/10/2024 10.11
GideonSby;1;Percuma bikin aplikasi begini Ga bisa di screencahot juga KTP nya;12/10/2024 02.55
ihzolaj;1;Aplikasi nya sangat tidak berguna merepotkan orang saja;11/10/2024 08.39
hafiidh nurdiman;3;Maaf admin. Kenapa dokumennya gak bisa d buka;10/10/2024 00.18
Idiot GOV;1;This app if an idiot human being have ideas make an online app for id but to register must go to offline office just for a freaking bar code. Nice one gov correction not human ANIMALS, next time just send the stupid barcode through email OK! Also I didnt know the app will work well i can fell it wont cuz it run by idiots.;10/10/2024 16.31
Rakyat Resah;1;masuk aplikasi, mau ke service susah sekali selalu gagal, app untuk data pribadi seperti aplikasi murahan;10/10/2024 05.40
teno wahyudi;2;dokumenya ga bisa kebuk. load terus;10/10/2024 04.40
riyannnnnnnnnnn;3;solusi lupa pin gimana?? nggak ada pilihan untuk ganti pin;09/10/2024 07.03
depopppp;2;tidak bisa membuka document,loading terus padahal jaringan bagus;09/10/2024 17.44
ibugunung;2;Hari ini ada petugas yang melakukan pendaftaran ktp digital . Tapi saya malah di tolak dengn alasan pake hp iphone katanya nggak bisa.;09/10/2024 13.36
Aminkuu;1;Mohon maaf pak saya mau komplain kenapa saya tidak bisa buka ktp digital saya ,setiap buka dokumen untuk melihat ktp selalu gagal dan terjadi kesalahan ,saya sudah coba berkali kali namun hasilnya tetap gagal atau terjadi kesalahan;09/10/2024 09.57
alahsiamang;1;Mohon perbaiki, saya tidak bisa melihat Kk digital, KTP digitalnya. Percuma ada aplikasinya kalo gabisa diperlihatkan;09/10/2024 06.53
Henjuv;1;Bagian dokumen tidak bisa d akses. Hanya muter muter tidak jelas ;09/10/2024 04.33
I miei genitori;3;Min coba untuk semua based online, pakai email, jadi nggak perlu ke dukcapil lagi, agar menghemat waktu juga Terimaksih;06/10/2024 22.11
dewa1984776655;1;Menu dokumen ngak bisa dibuka..aplikasi kacau;08/10/2024 15.56
Nianickname;1;Menu Dokumen loading terus berakhir tidak bisa lihat dokumen KTP dan KK. Info dari pegawai, kalau ios isunya itu. Tolonglah diperbaiki bug nya.;08/10/2024 04.08
FandyMomo;1;Aplikasi yg sering nyangkut klo sudah sekali gagal buka, mau buka dokumen gagal trus dan tidak pernah berhasil, jika belum ready digital jgn create apps dulu lebih baik menggunakan website saja lebih smooth;08/10/2024 03.33
aseppp0282;1;ngecek ktp sangat lama;07/10/2024 22.38
ocritz;1;Dokumen eKTP tidak bisa dibuka selalu loading entah kemana padahal udah ditunggu hampir setengah jam. Hadeh... mau ekspektasi tinggi tapi kok ya, dahlah uninstall ;07/10/2024 21.48
